#,NOC,Gold_rate,Silver_rate,Bronze_rate,Gold,Silver,Bronze,Sum,Sum
103,URU,0.000008,0.000026,0.000036,0,0,0,0,0
104,SRI,0.000008,0.000026,0.000036,0,0,0,0,0
105,CIV,0.000008,0.000026,0.000036,0,0,0,0,0
106,BEN,0.000008,0.000026,0.000036,0,0,0,0,0
107,GHA,0.000008,0.000026,0.000601,0,0,0,0,0
108,SOM,0.000008,0.000026,0.000036,0,0,0,0,0
109,NIG,0.000008,0.000026,0.000036,0,0,0,0,0
110,MLI,0.000008,0.000026,0.000036,0,0,0,0,0
111,AFG,0.000008,0.000026,0.000328,0,0,0,0,0
112,CRC,0.000232,0.000292,0.000036,0,0,0,0,0
113,SLO,0.000589,0.00022,0.001081,0,0,0,0,0
114,GUY,0.000008,0.000026,0.000036,0,0,0,0,0
115,POR,0.000065,0.000373,0.00024,0,0,0,0,0
116,PAR,0.000008,0.000187,0.000036,0,0,0,0,0
117,ANG,0.000008,0.000026,0.000036,0,0,0,0,0
118,VEN,0.000334,0.000934,0.00036,0,0,0,0,0
119,BAN,0.000008,0.000026,0.000036,0,0,0,0,0
120,PER,0.000033,0.000546,0.001009,0,0,0,0,0
121,ESA,0.000008,0.000026,0.000036,0,0,0,0,0
122,PUR,0.000083,0.000548,0.000661,0,0,0,0,0
123,HON,0.000008,0.000026,0.000036,0,0,0,0,0
124,TKM,0.000008,0.000289,0.000036,0,0,0,0,0
125,MRI,0.000008,0.000026,0.000036,0,0,0,0,0
126,SEY,0.000008,0.000026,0.000036,0,0,0,0,0
127,LUX,0.000008,0.000026,0.000036,0,0,0,0,0
128,MTN,0.000008,0.000026,0.000036,0,0,0,0,0
129,SKN,0.000008,0.000026,0.000036,0,0,0,0,0
130,TTO,0.000244,0,0.000191,0,0,0,0,0
131,VIN,0.000008,0.000026,0.000036,0,0,0,0,0
132,LBR,0.000008,0.000026,0.000036,0,0,0,0,0
133,SUR,0.000276,0.000026,0.000036,0,0,0,0,0
134,NEP,0.000008,0.000026,0.000036,0,0,0,0,0
135,PLW,0.000008,0.000026,0.000036,0,0,0,0,0
136,TOG,0.000008,0.000026,0.000208,0,0,0,0,0
137,NAM,0.000008,0.000313,0.000036,0,0,0,0,0
138,ISL,0.000008,0.000145,0.000143,0,0,0,0,0
139,ASA,0.000008,0.000026,0.000036,0,0,0,0,0
140,SAM,0.000008,0.000559,0.000036,0,0,0,0,0
141,RWA,0.000008,0.000026,0.000036,0,0,0,0,0
142,DMA,0.000776,0.000005,0.00039,0,0,0,0,0
143,HAI,0.000008,0.000026,0.000036,0,0,0,0,0
144,MLT,0.000008,0.000026,0.000036,0,0,0,0,0
145,CYP,0,0.000521,0.000052,0,0,0,0,0
146,GUI,0.000008,0.000026,0.000036,0,0,0,0,0
147,BIZ,0.000008,0.000026,0.000036,0,0,0,0,0
148,YEM,0.000008,0.000026,0.000036,0,0,0,0,0
149,BER,0.0006,0.000005,0.000069,0,0,0,0,0
150,SLE,0.000008,0.000026,0.000036,0,0,0,0,0
151,PNG,0.000008,0.000026,0.000036,0,0,0,0,0
152,OMA,0.000008,0.000026,0.000036,0,0,0,0,0
153,VAN,0.000008,0.000026,0.000036,0,0,0,0,0
154,MDA,0.00005,0.00023,0.000796,0,0,0,0,0
155,LAT,0.001096,0.000041,0.001113,0,0,0,0,0
156,IVB,0.000008,0.000026,0.000036,0,0,0,0,0
157,MOZ,0.000008,0.000026,0.000036,0,0,0,0,0
158,ISV,0.000008,0.000026,0.000036,0,0,0,0,0
159,CAF,0.000008,0.000026,0.000036,0,0,0,0,0
160,MAD,0.000008,0.000026,0.000036,0,0,0,0,0
161,BIH,0.000008,0.000026,0.000036,0,0,0,0,0
162,GUM,0.000008,0.000026,0.000036,0,0,0,0,0
163,CAY,0.000008,0.000026,0.000036,0,0,0,0,0
164,BAR,0.000008,0.000026,0.000191,0,0,0,0,0
165,GBS,0.000008,0.000026,0.000036,0,0,0,0,0
166,TLS,0.000008,0.000026,0.000036,0,0,0,0,0
167,COD,0.000008,0.000026,0.000036,0,0,0,0,0
168,GAB,0.000008,0.000202,0.000036,0,0,0,0,0
169,SMR,0,0.000611,0.000334,0,0,0,0,0
170,LAO,0.000008,0.000026,0.000036,0,0,0,0,0
171,CAM,0.000008,0.000026,0.000036,0,0,0,0,0
172,PRK,0.000064,0.00095,0.001318,0,0,0,0,0
173,SOL,0.000008,0.000026,0.000036,0,0,0,0,0
174,SEN,0.000008,0.000279,0.000036,0,0,0,0,0
175,GEQ,0.000008,0.000026,0.000036,0,0,0,0,0
176,BOL,0.000008,0.000026,0.000036,0,0,0,0,0
177,ANT,0.000008,0.000026,0.000036,0,0,0,0,0
178,AND,0.000008,0.000026,0.000036,0,0,0,0,0
179,ZIM,0.000008,0.000026,0.000036,0,0,0,0,0
180,HKG,0.001496,0.000391,0.000653,0,0,0,0,0
181,FSM,0.000008,0.000026,0.000036,0,0,0,0,0
182,MYA,0.000008,0.000026,0.000036,0,0,0,0,0
183,MAW,0.000008,0.000026,0.000036,0,0,0,0,0
184,ZAM,0.000481,0.000005,0.00039,0,0,0,0,0
185,STP,0.000008,0.000026,0.000036,0,0,0,0,0
186,MKD,0.000008,0.000351,0.000036,0,0,0,0,0
187,LIE,0.000008,0.000026,0.000036,0,0,0,0,0
188,MNE,0.000008,0.000026,0.000036,0,0,0,0,0
189,GAM,0.000008,0.000026,0.000036,0,0,0,0,0
190,COK,0.000008,0.000026,0.000036,0,0,0,0,0
191,ALB,0.000017,0.001362,0.001504,0,0,0,0,0
192,SWZ,0.000008,0.000026,0.000036,0,0,0,0,0
193,BUR,0.000096,0,0.000262,0,0,0,0,0
194,BDI,0.000008,0.000421,0.000036,0,0,0,0,0
195,ARU,0.000008,0.000026,0.000036,0,0,0,0,0
196,NRU,0.000008,0.000026,0.000036,0,0,0,0,0
197,VIE,0.000239,0.000697,0.000245,0,0,0,0,0
198,BHU,0.000008,0.000026,0.000036,0,0,0,0,0
199,MHL,0.000008,0.000026,0.000036,0,0,0,0,0
200,KIR,0.000008,0.000026,0.000036,0,0,0,0,0
201,TUV,0.000008,0.000026,0.000036,0,0,0,0,0
202,TGA,0.000008,0.000026,0.000036,0,0,0,0,0
203,LES,0.000008,0.000026,0.000036,0,0,0,0,0
