,NOC,Feature,Gold,Silver,Bronze,Total
0,JPN,Host,0.02087672825591876,0.002667343114340769,0.003979571656162085,0.027786815922794104
1,JPN,SWA,4.673888062321135e-06,0.000427939598073509,1.8695629901004745e-05,5.788009059754372e-05
2,JPN,DIV,0.0006032499397639149,0.0003346742514839854,0.000752495849176274,0.0005236922094922622
3,JPN,OWS,0.0,0.0,0.0,0.0
4,JPN,SWM,0.032915812664405956,0.017318521331274796,0.042720757816520516,0.049256434743503365
5,JPN,WPO,0.0,0.0,0.0,0.0
6,JPN,ARC,0.048713650890074414,0.025629010744334588,0.0174773385972576,0.06161873226107627
7,JPN,ATH,0.057724070186774695,0.08035420857609951,0.08218737422079092,0.0391231655835142
8,JPN,BDM,0.0032831918551900793,0.003801376983909535,0.003940097297801859,0.008302152151579619
9,JPN,BK3,0.0,0.0,0.0,0.0
10,JPN,BKB,0.00041718788726845805,0.0038758026734525457,8.332330114031847e-05,0.00016823515864149665
11,JPN,BOX,0.014844845449253876,0.04602094497623769,0.005274752704922416,0.011475924667789562
12,JPN,BKG,0.0008171385880720176,0.0018351169832194298,2.1834105109962473e-05,0.0012323746422464648
13,JPN,CSP,0.0,0.0,0.0,0.0
14,JPN,CSL,0.00448852752942133,0.001781845081772135,0.0030893069494861165,0.0029078686754072797
15,JPN,BMF,0.0,0.0,0.0,0.0
16,JPN,BMX,0.0,0.0,0.0,0.0
17,JPN,MTB,0.0,0.0,0.0,0.0
18,JPN,CRD,0.0,0.0,0.0,0.0
19,JPN,CTR,0.0,0.0,0.0,0.0
20,JPN,EDR,0.0,0.0,0.0,0.0
21,JPN,EVE,0.0005810482689601731,0.0003879108716646909,4.0460050566910884e-05,0.0009387292033546215
22,JPN,EJP,0.0,0.0,0.0,0.0
23,JPN,FEN,0.006112780668989749,0.008572926238672042,0.005301407445112784,0.001403932105630616
24,JPN,HOC,0.0,0.0,0.0,0.0
25,JPN,FBL,0.012557728522217338,0.03009774265899859,0.011420844536605121,0.006823047182527286
26,JPN,GLF,0.0007407670380649578,0.0027510245661320223,0.0017605027226384633,0.0007616631163561854
27,JPN,GAR,0.001269413109551811,0.0006530104227195654,0.00029184669308319913,8.02379830449635e-05
28,JPN,GRY,0.0,0.0,0.0,0.0
29,JPN,GTR,0.0,0.0,0.0,0.0
30,JPN,HBL,0.0,0.0,0.0,0.0
31,JPN,JUD,0.043774817360553914,0.14642528066067054,0.098258667042008,0.024203365544812772
32,JPN,MPN,0.0005801401845829589,0.0009071555793560196,0.0008317325141853044,7.310275629406006e-05
33,JPN,ROW,0.0,0.0,0.0,0.0
34,JPN,RU7,0.0,0.0,0.0,0.0
35,JPN,SAL,0.004953443593854542,0.01624862964003442,0.01542992453265322,0.0045577163995156105
36,JPN,SHO,0.036773452766556414,0.01744704688825127,0.012640717537357661,0.05378560792730881
37,JPN,SKB,0.00048819421554523683,0.003948733554060348,0.000335871271043724,8.326668439358927e-05
38,JPN,CLB,3.3424517048204304e-05,0.0009093217055348232,7.782450831788237e-05,5.8053614344698006e-05
39,JPN,SRF,0.001679555040863361,0.004082094565689458,0.0006462420924506496,0.0005112463705074534
40,JPN,TTE,0.00359787109487341,0.002335234983111186,0.0011346043546770865,0.004635668138749496
41,JPN,TKW,0.0010965104664757237,0.03807267813947655,0.04388131725764769,0.007486875183733635
42,JPN,TEN,0.000838507943185824,0.0023703703622805074,0.0022310689442130876,0.0017701452401933005
43,JPN,TRI,0.0,0.0,0.0,0.0
44,JPN,VBV,0.0,0.0,0.0,0.0
45,JPN,VVO,0.04081553505409858,0.2432924317019301,0.26819067162222265,0.16156283850733225
46,JPN,WLF,0.3181001698204825,0.20889191900356316,0.2004241917368053,0.37927742194985753
47,JPN,WRF,0.04388627578666887,0.019707163568557638,0.15077802151298025,0.06077824116365789
48,JPN,WRG,0.2974312874132207,0.06885254057509854,0.026778535497162033,0.08875556482174311
