,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Gold,Silver,Bronze,Total,Sum
171,GEQ,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
172,BOL,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
173,ANT,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
174,AND,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
175,ZIM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
179,FSM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
180,MYA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
181,MAW,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
182,ZAM,0.00012160851347640578,0.0,0.0006176445533556853,0.0002695049056186336,0.0,0.0,0.0,0.0,0.0
184,STP,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
185,MKD,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,1.1350192839628419e-05,0.0,0.0,0.0,0.0,0.0
186,LIE,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
187,MNE,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
188,GAM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
189,COK,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
191,SWZ,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
192,BUR,0.00012160851347640578,0.0,0.0006176445533556853,0.0002695049056186336,0.0,0.0,0.0,0.0,0.0
193,BDI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
194,ARU,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
195,NRU,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
196,VIE,3.1065371932625687e-06,1.617885085075853e-05,0.0003773433608469853,0.00016439842028863463,0.0,0.0,0.0,0.0,0.0
197,BHU,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
198,MHL,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
199,KIR,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
200,TUV,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
201,TGA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
202,LES,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
